Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Tanah Datar,2019,7741624.36,173996.24,1633521.77,4213423.23,958.98,-672838.87,13090685.71
Padang Pariaman,2019,10869391.64,237601.21,1839091.49,5946754.07,421.3,2362213.63,21255473.34
Agam,2019,11537249.35,240899.68,1750985.08,6105617.43,308.15,905932.48,20540992.18
Lima Puluh Kota,2019,8751049.54,175689.06,1505655.05,4843161.71,405.09,349379.96,15625340.42
Pasaman,2019,4988637.55,106573.13,1127595.93,2798457.07,2051.39,-115546.56,8907768.5
Solok Selatan,2019,3218709.29,68159.68,713499.58,1671359.2,227.91,-97436.57,5574519.08
Dharmasraya,2019,5945630.75,110039.9,987094.52,3091528.17,715.45,214554.38,10349563.18
Pasaman Barat,2019,8926405.98,199922.6,1483454.15,4839487.25,216.29,-48148.19,15401338.08
Kota Padang,2019,32098460.8,732385.2,9860235.22,18712629.37,16421.66,1000338.57,62420470.82
Kota Solok,2019,2115632.9,45365.35,717948.27,1100430.19,115.17,68487.94,4047979.83
Kota Sawah Lunto,2019,2086707.65,43438.32,706753.61,978905.63,3003.85,-138958.84,3679850.22
Kota Padang Panjang,2019,1870441.57,41432.99,682426.54,1106613.07,4886.47,-230968.0,3474832.65
Kota Bukittinggi,2019,4715823.9,89686.13,1214265.59,2378812.11,5554.0,291174.88,8695316.61
Kota Payakumbuh,2019,3314169.56,65408.29,899806.45,1795974.36,49056.22,700753.05,6825167.93
Kota Pariaman,2019,2700130.22,61547.97,720696.43,1411146.64,2213.21,109764.09,5005498.56
Kuantan Singingi,2019,14309955.88,176607.81,1564569.94,15656030.47,89716.89,73081.41,31869962.39
Indragiri Hulu,2019,17225241.07,247988.62,1687822.43,16904986.53,348853.97,5177840.95,41592733.57
Indragiri Hilir,2019,29034129.16,449864.49,1987594.78,15690403.24,53814.21,15482102.88,62697908.77
Pelalawan,2019,14642204.93,191639.34,1367395.73,9039107.49,920299.5,21571374.85,47732021.83
Siak,2019,20547583.41,254568.95,2072467.35,20531225.09,623944.47,38075343.37,82105132.65
Kampar,2019,36330571.04,467539.0,2979112.69,27736712.18,1601286.57,8151929.92,77267151.39
Rokan Hulu,2019,23164347.94,326054.97,1590738.71,9092300.46,321937.83,-613119.72,33882260.19
Bengkalis,2019,28520436.57,371038.07,3435469.3,24901356.05,154018.58,82996588.48,140378907.1
Rokan Hilir,2019,24481975.23,383701.64,1952196.5,7891601.64,1150903.44,38727739.29,74588117.75
Kepulauan Meranti,2019,7172261.87,153337.59,644131.42,4600306.64,40679.34,5783828.44,18394545.3
